country,state,city
India,Andhra Pradesh,Anantapur
India,Andhra Pradesh,Chittoor
India,Andhra Pradesh,East Godavari
India,Andhra Pradesh,Guntur
India,Andhra Pradesh,Krishna
India,Andhra Pradesh,Kurnool
India,Andhra Pradesh,Nellore
India,Andhra Pradesh,Prakasam
India,Andhra Pradesh,Srikakulam
India,Andhra Pradesh,Visakhapatnam
India,Andhra Pradesh,Vizianagaram
India,Andhra Pradesh,West Godavari
India,Andhra Pradesh,YSR Kadapa
India,Arunachal Pradesh,Tawang
India,Arunachal Pradesh,West Kameng
India,Arunachal Pradesh,East Kameng
India,Arunachal Pradesh,Papum Pare
India,Arunachal Pradesh,Kurung Kumey
India,Arunachal Pradesh,Kra Daadi
India,Arunachal Pradesh,Lower Subansiri
India,Arunachal Pradesh,Upper Subansiri
India,Arunachal Pradesh,West Siang
India,Arunachal Pradesh,East Siang
India,Arunachal Pradesh,Siang
India,Arunachal Pradesh,Upper Siang
India,Arunachal Pradesh,Lower Siang
India,Arunachal Pradesh,Lower Dibang Valley
India,Arunachal Pradesh,Dibang Valley
India,Arunachal Pradesh,Anjaw
India,Arunachal Pradesh,Lohit
India,Arunachal Pradesh,Namsai
India,Arunachal Pradesh,Changlang
India,Arunachal Pradesh,Tirap
India,Arunachal Pradesh,Longding
India,Assam,Baksa
India,Assam,Barpeta
India,Assam,Biswanath
India,Assam,Bongaigaon
India,Assam,Cachar
India,Assam,Charaideo
India,Assam,Chirang
India,Assam,Darrang
India,Assam,Dhemaji
India,Assam,Dhubri
India,Assam,Dibrugarh
India,Assam,Goalpara
India,Assam,Golaghat
India,Assam,Hailakandi
India,Assam,Hojai
India,Assam,Jorhat
India,Assam,Kamrup Metropolitan
India,Assam,Kamrup
India,Assam,Karbi Anglong
India,Assam,Karimganj
India,Assam,Kokrajhar
India,Assam,Lakhimpur
India,Assam,Majuli
India,Assam,Morigaon
India,Assam,Nagaon
India,Assam,Nalbari
India,Assam,Dima Hasao
India,Assam,Sivasagar
India,Assam,Sonitpur
India,Assam,South Salmara-Mankachar
India,Assam,Tinsukia
India,Assam,Udalguri
India,Assam,West Karbi Anglong
